handle,nombre,categoria,subcategoria,sku,precio,precio_oferta,stock,peso_kg,descripcion_corta,url_imagen_1,url_imagen_2,estado
lampara-colgante-aura,Lampara Colgante Aura,Luminaria,Colgantes,LH-LUZ-001,129,109,15,1.8,Colgante metalico negro mate para comedor.,https://picsum.photos/seed/lh001/1200/1200,https://picsum.photos/seed/lh001b/1200/1200,activo
lampara-colgante-bruma,Lampara Colgante Bruma,Luminaria,Colgantes,LH-LUZ-002,139,119,9,2.0,Colgante en vidrio opalino para living.,https://picsum.photos/seed/lh002/1200/1200,https://picsum.photos/seed/lh002b/1200/1200,activo
lampara-techo-zenit,Lampara Techo Zenit,Luminaria,Techo,LH-LUZ-003,159,0,11,2.3,Plafon moderno de alto rendimiento lumínico.,https://picsum.photos/seed/lh003/1200/1200,https://picsum.photos/seed/lh003b/1200/1200,activo
lampara-pie-nexo,Lampara de Pie Nexo,Luminaria,De Pie,LH-LUZ-004,189,169,8,4.2,Lampara de pie con base marmol y luz calida.,https://picsum.photos/seed/lh004/1200/1200,https://picsum.photos/seed/lh004b/1200/1200,activo
lampara-mesa-cubo,Lampara de Mesa Cubo,Luminaria,Mesa,LH-LUZ-005,99,0,18,1.2,Lampara compacta ideal para mesa de luz.,https://picsum.photos/seed/lh005/1200/1200,https://picsum.photos/seed/lh005b/1200/1200,activo
aplique-faro,Aplique Mural Faro,Luminaria,Pared,LH-LUZ-006,94,79,20,0.9,Aplique direccional para pasillos y halls.,https://picsum.photos/seed/lh006/1200/1200,https://picsum.photos/seed/lh006b/1200/1200,activo
mesa-ratona-oslo,Mesa Ratona Oslo,Mobiliario,Living,LH-MOB-001,249,219,7,14.0,Mesa ratona en madera natural estilo nordico.,https://picsum.photos/seed/mob001/1200/1200,https://picsum.photos/seed/mob001b/1200/1200,activo
rack-tv-nova,Rack TV Nova,Mobiliario,Living,LH-MOB-002,329,299,5,26.0,Rack para TV de hasta 65 pulgadas.,https://picsum.photos/seed/mob002/1200/1200,https://picsum.photos/seed/mob002b/1200/1200,activo
biblioteca-vertica,Biblioteca Vertica,Mobiliario,Home Office,LH-MOB-003,279,249,6,19.0,Biblioteca modular de 5 estantes.,https://picsum.photos/seed/mob003/1200/1200,https://picsum.photos/seed/mob003b/1200/1200,activo
silla-comedor-kai,Silla Comedor Kai,Mobiliario,Comedor,LH-MOB-004,89,0,30,5.1,Silla tapizada de respaldo curvo.,https://picsum.photos/seed/mob004/1200/1200,https://picsum.photos/seed/mob004b/1200/1200,activo
mesa-comedor-duna,Mesa Comedor Duna,Mobiliario,Comedor,LH-MOB-005,459,419,4,33.0,Mesa de comedor para 6 personas.,https://picsum.photos/seed/mob005/1200/1200,https://picsum.photos/seed/mob005b/1200/1200,activo
consola-recibidor-nara,Consola Recibidor Nara,Mobiliario,Entrada,LH-MOB-006,279,249,6,17.0,Consola angosta para ingreso de hogar.,https://picsum.photos/seed/mob006/1200/1200,https://picsum.photos/seed/mob006b/1200/1200,activo
sillon-atelier-2c,Sillon Atelier 2C,Mobiliario,Living,LH-MOB-007,490,449,3,39.0,Sillon de 2 cuerpos con tela antimanchas.,https://picsum.photos/seed/mob007/1200/1200,https://picsum.photos/seed/mob007b/1200/1200,activo
escritorio-lineal-roble,Escritorio Lineal Roble,Mobiliario,Home Office,LH-MOB-008,299,269,5,23.0,Escritorio minimalista para trabajo en casa.,https://picsum.photos/seed/mob008/1200/1200,https://picsum.photos/seed/mob008b/1200/1200,activo
set-banqueta-lena,Set Banqueta Lena x2,Mobiliario,Cocina,LH-MOB-009,169,149,10,9.8,Banquetas altas para isla o barra.,https://picsum.photos/seed/mob009/1200/1200,https://picsum.photos/seed/mob009b/1200/1200,activo
