codigo,nombre,categoria,precio,precio_promocional,stock,descripcion,url_imagen,estado,destacado
LH-LUZ-001,Lampara Colgante Aura,Luminaria > Colgantes,129,109,15,Colgante metalico negro mate para comedor.,https://picsum.photos/seed/lh001/1200/1200,activo,si
LH-LUZ-002,Lampara Colgante Bruma,Luminaria > Colgantes,139,119,9,Colgante en vidrio opalino para living.,https://picsum.photos/seed/lh002/1200/1200,activo,no
LH-LUZ-003,Lampara Techo Zenit,Luminaria > Techo,159,0,11,Plafon moderno de alto rendimiento luminico.,https://picsum.photos/seed/lh003/1200/1200,activo,si
LH-LUZ-004,Lampara de Pie Nexo,Luminaria > De Pie,189,169,8,Lampara de pie con base marmol y luz calida.,https://picsum.photos/seed/lh004/1200/1200,activo,si
LH-LUZ-005,Lampara de Mesa Cubo,Luminaria > Mesa,99,0,18,Lampara compacta ideal para mesa de luz.,https://picsum.photos/seed/lh005/1200/1200,activo,no
LH-LUZ-006,Aplique Mural Faro,Luminaria > Pared,94,79,20,Aplique direccional para pasillos y halls.,https://picsum.photos/seed/lh006/1200/1200,activo,no
LH-MOB-001,Mesa Ratona Oslo,Mobiliario > Living,249,219,7,Mesa ratona en madera natural estilo nordico.,https://picsum.photos/seed/mob001/1200/1200,activo,si
LH-MOB-002,Rack TV Nova,Mobiliario > Living,329,299,5,Rack para TV de hasta 65 pulgadas.,https://picsum.photos/seed/mob002/1200/1200,activo,no
LH-MOB-003,Biblioteca Vertica,Mobiliario > Home Office,279,249,6,Biblioteca modular de 5 estantes.,https://picsum.photos/seed/mob003/1200/1200,activo,no
LH-MOB-004,Silla Comedor Kai,Mobiliario > Comedor,89,0,30,Silla tapizada de respaldo curvo.,https://picsum.photos/seed/mob004/1200/1200,activo,si
LH-MOB-005,Mesa Comedor Duna,Mobiliario > Comedor,459,419,4,Mesa de comedor para 6 personas.,https://picsum.photos/seed/mob005/1200/1200,activo,si
LH-MOB-006,Consola Recibidor Nara,Mobiliario > Entrada,279,249,6,Consola angosta para ingreso de hogar.,https://picsum.photos/seed/mob006/1200/1200,activo,no
LH-MOB-007,Sillon Atelier 2C,Mobiliario > Living,490,449,3,Sillon de 2 cuerpos con tela antimanchas.,https://picsum.photos/seed/mob007/1200/1200,activo,si
LH-MOB-008,Escritorio Lineal Roble,Mobiliario > Home Office,299,269,5,Escritorio minimalista para trabajo en casa.,https://picsum.photos/seed/mob008/1200/1200,activo,no
LH-MOB-009,Set Banqueta Lena x2,Mobiliario > Cocina,169,149,10,Banquetas altas para isla o barra.,https://picsum.photos/seed/mob009/1200/1200,activo,no
